#
# Transition date estimate for jasperridge
#
# Site: jasperridge
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2016
# Final Processing Date: 2020-12-03
# Final Processing Time: 09:55:17
# Spline RMSE gcc_mean: 0.00168
# Spline RMSE gcc_50: 0.00124
# Spline RMSE gcc_75: 0.00134
# Spline RMSE gcc_90: 0.00149
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
jasperridge,GR,1000,falling,gcc_90,2012-07-20,2012-06-22,2012-06-05,2012-07-27,2012-06-28,2012-06-09,2012-07-11,2012-06-18,2012-06-01,0.31963,0.32597,0.33671,0.31564,0.35714
jasperridge,GR,1000,falling,gcc_75,2016-05-13,2016-05-06,2016-04-27,2016-05-15,2016-05-07,2016-04-28,2016-05-11,2016-05-04,2016-04-26,0.32312,0.33417,0.35833,0.3149,0.39892
jasperridge,GR,1000,falling,gcc_75,2015-05-03,2015-04-27,2015-04-19,2015-05-04,2015-04-28,2015-04-21,2015-05-01,2015-04-26,2015-04-18,0.32255,0.33232,0.34969,0.31736,0.37833
jasperridge,GR,1000,falling,gcc_75,2014-05-13,2014-05-09,2014-05-02,2014-05-14,2014-05-10,2014-05-03,2014-05-12,2014-05-07,2014-05-01,0.32333,0.33195,0.35489,0.31615,0.38933
jasperridge,GR,1000,falling,gcc_75,2013-04-30,2013-04-27,2013-04-21,2013-05-01,2013-04-28,2013-04-22,2013-04-29,2013-04-25,2013-04-20,0.32414,0.33071,0.34911,0.31846,0.37726
jasperridge,GR,1000,falling,gcc_75,2012-07-21,2012-06-23,2012-06-04,2012-07-27,2012-06-30,2012-06-08,2012-07-13,2012-06-19,2012-05-31,0.31911,0.3252,0.33568,0.31506,0.35581
jasperridge,GR,1000,falling,gcc_50,2016-05-13,2016-05-05,2016-04-27,2016-05-14,2016-05-06,2016-04-28,2016-05-11,2016-05-04,2016-04-26,0.32184,0.33439,0.35585,0.31476,0.39536
jasperridge,GR,1000,falling,gcc_50,2015-05-02,2015-04-27,2015-04-19,2015-05-03,2015-04-28,2015-04-21,2015-04-30,2015-04-25,2015-04-18,0.32214,0.32991,0.34749,0.31673,0.37572
jasperridge,GR,1000,falling,gcc_50,2014-05-13,2014-05-08,2014-05-02,2014-05-14,2014-05-09,2014-05-03,2014-05-11,2014-05-07,2014-05-01,0.32214,0.33291,0.35204,0.31537,0.38631
jasperridge,GR,1000,falling,gcc_50,2013-04-30,2013-04-26,2013-04-21,2013-05-01,2013-04-27,2013-04-22,2013-04-28,2013-04-25,2013-04-20,0.32213,0.33106,0.34623,0.31762,0.37452
jasperridge,GR,1000,falling,gcc_50,2012-07-21,2012-06-25,2012-06-04,2012-07-26,2012-07-02,2012-06-08,2012-07-14,2012-06-20,2012-05-31,0.31847,0.32423,0.33417,0.31464,0.35335
jasperridge,GR,1000,falling,gcc_mean,2016-05-13,2016-05-05,2016-04-27,2016-05-15,2016-05-06,2016-04-28,2016-05-11,2016-05-04,2016-04-26,0.32145,0.3341,0.35551,0.31388,0.39503
jasperridge,GR,1000,falling,gcc_mean,2015-05-02,2015-04-27,2015-04-19,2015-05-04,2015-04-28,2015-04-21,2015-04-30,2015-04-25,2015-04-18,0.32222,0.33026,0.3475,0.31656,0.37523
jasperridge,GR,1000,falling,gcc_mean,2014-05-13,2014-05-08,2014-05-02,2014-05-14,2014-05-09,2014-05-03,2014-05-11,2014-05-07,2014-05-01,0.32171,0.33253,0.35173,0.31502,0.38536
jasperridge,GR,1000,falling,gcc_mean,2013-04-30,2013-04-27,2013-04-21,2013-05-01,2013-04-28,2013-04-22,2013-04-28,2013-04-25,2013-04-20,0.3219,0.32824,0.34636,0.31675,0.3738
jasperridge,GR,1000,falling,gcc_mean,2012-07-22,2012-06-27,2012-06-05,2012-07-28,2012-07-03,2012-06-09,2012-07-12,2012-06-20,2012-06-01,0.3177,0.32365,0.33379,0.31394,0.35319
